outer_fold,model,metabolite,standardized_coefficient,constraint
3,Monotonic,L-allo-Isoleucine,0.016703297171184225,1
3,Monotonic,isopropanol,0.004131493218796551,0
3,Monotonic,L-Lactic acid,0.010424995884112357,1
3,Monotonic,L-leucine,0.012266650847690274,1
3,Monotonic,lipoproteins,0.0,1
3,Monotonic,methanol,0.0007564731257568038,0
3,Monotonic,Dimethyl sulfone,-0.002790725566535616,0
3,Monotonic,D-phenylalanine,0.009106009395080602,1
3,Monotonic,Pyruvic acid,0.009051026971528991,0
3,Monotonic,L-tyrosine,0.01401702082117715,1
3,L2,(R)-3-Hydroxybutyric acid,-0.004712050627198926,0
3,L2,acetate,-0.007051066962413839,0
3,L2,acetoacetate,-0.003208329058012897,0
3,L2,L-alanine,0.006087742589931426,0
3,L2,L-valine,0.018134758294636823,0
3,L2,hypoxanthine,0.0017034886463866143,0
3,L2,citrate,-0.011201348021407674,0
3,L2,creatinine,0.000526657446841567,0
3,L2,L-glutamine,-0.0014842107251691287,0
3,L2,glycine,-0.003835855523935986,0
3,L2,histidine,0.008855635889275012,0
3,L2,L-allo-Isoleucine,0.016646809102731093,0
3,L2,isopropanol,0.004132363710618986,0
3,L2,L-Lactic acid,0.01037641088894403,0
3,L2,L-leucine,0.012209606372527618,0
3,L2,lipoproteins,-0.0015348761057131465,0
3,L2,methanol,0.0007405581209410121,0
3,L2,Dimethyl sulfone,-0.002721075967323029,0
3,L2,D-phenylalanine,0.009031559517048378,0
3,L2,Pyruvic acid,0.009063670232772998,0
3,L2,L-tyrosine,0.013972811435630028,0
3,Elastic Net,(R)-3-Hydroxybutyric acid,0.0,0
3,Elastic Net,acetate,0.0,0
3,Elastic Net,acetoacetate,0.0,0
3,Elastic Net,L-alanine,0.0,0
3,Elastic Net,L-valine,0.07377549356683921,0
3,Elastic Net,hypoxanthine,0.0,0
3,Elastic Net,citrate,-0.01110881957919072,0
3,Elastic Net,creatinine,0.0,0
3,Elastic Net,L-glutamine,0.0,0
3,Elastic Net,glycine,0.0,0
3,Elastic Net,histidine,0.0,0
3,Elastic Net,L-allo-Isoleucine,0.05741176778971672,0
3,Elastic Net,isopropanol,0.0,0
3,Elastic Net,L-Lactic acid,0.0010903766198764758,0
3,Elastic Net,L-leucine,0.009774259645373123,0
3,Elastic Net,lipoproteins,0.0,0
3,Elastic Net,methanol,0.0,0
3,Elastic Net,Dimethyl sulfone,0.0,0
3,Elastic Net,D-phenylalanine,0.0,0
3,Elastic Net,Pyruvic acid,0.0,0
3,Elastic Net,L-tyrosine,0.031038764448284448,0
4,Monotonic,(R)-3-Hydroxybutyric acid,-0.04437696197793268,0
4,Monotonic,acetate,-0.042314068936561436,0
4,Monotonic,acetoacetate,-0.07382392034624277,0
4,Monotonic,L-alanine,0.006572599690660389,1
4,Monotonic,L-valine,0.10889212067796798,1
4,Monotonic,hypoxanthine,-0.03296259950569575,0
4,Monotonic,citrate,-0.03046995649199922,0
4,Monotonic,creatinine,0.016223356713818776,0
4,Monotonic,L-glutamine,-0.03631927528212055,-1
4,Monotonic,glycine,-0.0038236427779448443,-1
4,Monotonic,histidine,-0.005083514049012805,-1
4,Monotonic,L-allo-Isoleucine,0.06014322877811089,1
4,Monotonic,isopropanol,0.022503562983321117,0
4,Monotonic,L-Lactic acid,0.08094337043302413,1
4,Monotonic,L-leucine,0.043798103411452946,1
4,Monotonic,lipoproteins,0.0,1
4,Monotonic,methanol,-0.015404025629477095,0
4,Monotonic,Dimethyl sulfone,0.03652072842194528,0
4,Monotonic,D-phenylalanine,0.06270395491244665,1
4,Monotonic,Pyruvic acid,0.07024305856512116,0
4,Monotonic,L-tyrosine,0.06045699709254928,1
4,L2,(R)-3-Hydroxybutyric acid,-0.045523973124534226,0
4,L2,acetate,-0.04211684038786991,0
4,L2,acetoacetate,-0.0735581123506166,0
4,L2,L-alanine,0.008196394424031835,0
4,L2,L-valine,0.10669128739432893,0
4,L2,hypoxanthine,-0.03430795169950833,0
4,L2,citrate,-0.03033744965749123,0
4,L2,creatinine,0.015693288212862713,0
4,L2,L-glutamine,-0.037280465956324664,0
4,L2,glycine,-0.003102392597447428,0
4,L2,histidine,-0.0060730764860901,0
4,L2,L-allo-Isoleucine,0.06357062936808892,0
4,L2,isopropanol,0.024267938160322765,0
4,L2,L-Lactic acid,0.07724477213083047,0
4,L2,L-leucine,0.047109734927748344,0
4,L2,lipoproteins,-0.051309855424406116,0
4,L2,methanol,-0.01675104434741047,0
4,L2,Dimethyl sulfone,0.03751733689380845,0
4,L2,D-phenylalanine,0.06372124470347906,0
4,L2,Pyruvic acid,0.07097283505683669,0
4,L2,L-tyrosine,0.06017297642087717,0
4,Elastic Net,(R)-3-Hydroxybutyric acid,0.0,0
4,Elastic Net,acetate,0.0,0
4,Elastic Net,acetoacetate,-0.11739535653150217,0
4,Elastic Net,L-alanine,0.0,0
4,Elastic Net,L-valine,0.3290766059364368,0
4,Elastic Net,hypoxanthine,0.0,0
4,Elastic Net,citrate,0.0,0
4,Elastic Net,creatinine,0.0,0
4,Elastic Net,L-glutamine,0.0,0
4,Elastic Net,glycine,0.0,0
4,Elastic Net,histidine,0.0,0
4,Elastic Net,L-allo-Isoleucine,0.0,0
4,Elastic Net,isopropanol,0.0,0
4,Elastic Net,L-Lactic acid,0.0,0
4,Elastic Net,L-leucine,0.0,0
4,Elastic Net,lipoproteins,0.0,0
4,Elastic Net,methanol,0.0,0
4,Elastic Net,Dimethyl sulfone,0.0,0
4,Elastic Net,D-phenylalanine,0.0,0
4,Elastic Net,Pyruvic acid,0.0651117277008389,0
4,Elastic Net,L-tyrosine,0.0,0
5,Monotonic,(R)-3-Hydroxybutyric acid,-0.007880838978876007,0
5,Monotonic,acetate,-0.005285245737689287,0
5,Monotonic,acetoacetate,-0.0028427672563084106,0
5,Monotonic,L-alanine,0.010234682645985855,1
5,Monotonic,L-valine,0.018154648130434325,1
5,Monotonic,hypoxanthine,0.0004992058543598172,0
5,Monotonic,citrate,-0.008594802805186154,0
5,Monotonic,creatinine,0.007359803990946851,0
5,Monotonic,L-glutamine,-0.01077775361948827,-1
5,Monotonic,glycine,-0.0021445761748720704,-1
5,Monotonic,histidine,0.0,-1
5,Monotonic,L-allo-Isoleucine,0.01822714355549368,1
5,Monotonic,isopropanol,0.010180294405720736,0
5,Monotonic,L-Lactic acid,0.014175703597030949,1
5,Monotonic,L-leucine,0.01157782623200545,1
5,Monotonic,lipoproteins,0.0017649116671432984,1
5,Monotonic,methanol,0.005811231791293395,0
5,Monotonic,Dimethyl sulfone,-0.004739533206542161,0
5,Monotonic,D-phenylalanine,0.01799855417650108,1
5,Monotonic,Pyruvic acid,0.014759540087627629,0
5,Monotonic,L-tyrosine,0.016476255487819932,1
5,L2,(R)-3-Hydroxybutyric acid,-0.007877440598408994,0
5,L2,acetate,-0.00531293970693575,0
5,L2,acetoacetate,-0.0028472287087676035,0
5,L2,L-alanine,0.010207190425463216,0
5,L2,L-valine,0.018116551514055383,0
5,L2,hypoxanthine,0.0005154300197284433,0
5,L2,citrate,-0.008611163126769844,0
5,L2,creatinine,0.00735143735392608,0
5,L2,L-glutamine,-0.01082281629350541,0
5,L2,glycine,-0.002199138159929483,0
5,L2,histidine,0.007901724182150866,0
5,L2,L-allo-Isoleucine,0.01819335061893451,0
5,L2,isopropanol,0.010168827321125335,0
5,L2,L-Lactic acid,0.01415061659794245,0
5,L2,L-leucine,0.011527232284958992,0
5,L2,lipoproteins,0.001768674989632566,0
5,L2,methanol,0.0057948451928534475,0
5,L2,Dimethyl sulfone,-0.004688666008170865,0
5,L2,D-phenylalanine,0.017942637763881338,0
5,L2,Pyruvic acid,0.014766795090818926,0
5,L2,L-tyrosine,0.016452183595651208,0
5,Elastic Net,(R)-3-Hydroxybutyric acid,-0.07934742046079295,0
5,Elastic Net,acetate,-0.12734586525452773,0
5,Elastic Net,acetoacetate,0.0,0
5,Elastic Net,L-alanine,-0.04050180944736661,0
5,Elastic Net,L-valine,0.2705135054162308,0
5,Elastic Net,hypoxanthine,-0.0019095013906083025,0
5,Elastic Net,citrate,-0.17120652804674227,0
5,Elastic Net,creatinine,0.2729118928671516,0
5,Elastic Net,L-glutamine,-0.3306761062654909,0
5,Elastic Net,glycine,0.0,0
5,Elastic Net,histidine,0.1723003240038785,0
5,Elastic Net,L-allo-Isoleucine,0.2714952454925961,0
5,Elastic Net,isopropanol,0.14591505739401184,0
5,Elastic Net,L-Lactic acid,0.2847882861633654,0
5,Elastic Net,L-leucine,0.0,0
5,Elastic Net,lipoproteins,0.0,0
5,Elastic Net,methanol,0.08642655265545222,0
5,Elastic Net,Dimethyl sulfone,0.08076594051068645,0
5,Elastic Net,D-phenylalanine,0.141429551372763,0
5,Elastic Net,Pyruvic acid,0.30159240892503897,0
5,Elastic Net,L-tyrosine,0.30119962653369137,0
